                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.31777,                 0.2711,                 1.0653,                0.46417,                0.55879,                0.52254,                0.48362,                0.31291,                0.43761,                  1.503,               0.006436,               0.006436,               0.006436
                     38,                0.31511,                 0.2679,                 1.0639,                0.47121,                0.53402,                0.51039,                0.47312,                0.31218,                0.44492,                 1.5072,               0.006337,               0.006337,               0.006337
                     39,                0.31352,                0.26551,                 1.0613,                  0.454,                0.56678,                0.51243,                0.47513,                0.31402,                 0.4483,                 1.5023,               0.006238,               0.006238,               0.006238
                     40,                0.31165,                0.26302,                 1.0621,                0.45283,                0.55509,                0.50679,                0.47014,                0.31294,                0.44877,                 1.4879,               0.006139,               0.006139,               0.006139
                     41,                0.31012,                 0.2631,                 1.0619,                0.46214,                0.54911,                0.51152,                0.47438,                0.31347,                0.45244,                 1.4924,                0.00604,                0.00604,                0.00604
                     42,                0.30801,                0.25775,                 1.0621,                0.46725,                0.54951,                0.51171,                0.47459,                0.31309,                0.45613,                 1.4986,               0.005941,               0.005941,               0.005941
                     43,                0.30553,                0.25748,                   1.06,                0.47378,                0.53761,                0.51346,                0.47607,                0.31445,                 0.4528,                 1.5048,               0.005842,               0.005842,               0.005842
                     44,                0.30406,                0.25747,                 1.0571,                0.47039,                0.55459,                0.51732,                0.47954,                0.31412,                0.44515,                 1.5073,               0.005743,               0.005743,               0.005743
                     45,                0.30108,                0.25088,                 1.0598,                0.46144,                0.55617,                0.51002,                0.47441,                0.31234,                0.44968,                 1.5022,               0.005644,               0.005644,               0.005644
                     46,                0.29959,                0.25316,                 1.0557,                 0.4668,                0.55356,                0.51181,                0.47611,                0.31109,                0.44922,                 1.4958,               0.005545,               0.005545,               0.005545
                     47,                0.29737,                0.24983,                 1.0546,                0.45766,                0.56216,                 0.5103,                0.47457,                0.31117,                0.45167,                 1.4954,               0.005446,               0.005446,               0.005446
                     48,                0.29549,                0.24775,                 1.0537,                0.45676,                0.55675,                 0.5121,                 0.4762,                0.31139,                0.44981,                 1.4871,               0.005347,               0.005347,               0.005347
                     49,                0.29318,                0.24382,                 1.0518,                0.45821,                0.56749,                0.51139,                0.47581,                0.31027,                0.45044,                 1.4889,               0.005248,               0.005248,               0.005248
                     50,                0.29051,                 0.2411,                 1.0507,                0.45599,                 0.5658,                0.51167,                0.47579,                0.30932,                0.45042,                  1.496,               0.005149,               0.005149,               0.005149
                     51,                0.28906,                0.24037,                 1.0485,                0.45448,                0.56414,                0.51251,                0.47625,                0.30948,                0.44879,                 1.5047,                0.00505,                0.00505,                0.00505
                     52,                0.28773,                0.23905,                 1.0515,                0.45642,                0.57032,                 0.5149,                0.47827,                0.30907,                0.44733,                 1.5001,               0.004951,               0.004951,               0.004951
                     53,                0.28565,                0.23813,                  1.047,                 0.4595,                0.57153,                0.51752,                0.48036,                0.30926,                0.44779,                 1.5049,               0.004852,               0.004852,               0.004852
                     54,                 0.2845,                0.23575,                  1.052,                0.46256,                   0.57,                0.51791,                0.48094,                0.30885,                0.44719,                 1.5045,               0.004753,               0.004753,               0.004753
                     55,                0.28248,                0.23529,                 1.0462,                0.46428,                0.56939,                0.51913,                0.48194,                0.30873,                0.44502,                 1.5062,               0.004654,               0.004654,               0.004654
                     56,                0.28155,                 0.2329,                 1.0458,                0.47418,                0.55839,                0.51967,                0.48247,                0.30831,                0.44378,                 1.5054,               0.004555,               0.004555,               0.004555
                     57,                0.28145,                0.23163,                 1.0475,                0.47462,                0.55906,                0.51901,                0.48213,                0.30808,                0.44455,                 1.5076,               0.004456,               0.004456,               0.004456
                     58,                0.27924,                0.22985,                 1.0434,                0.47596,                0.55927,                0.51909,                0.48208,                 0.3081,                0.44553,                 1.5109,               0.004357,               0.004357,               0.004357
                     59,                0.27669,                0.22719,                 1.0454,                0.47636,                0.55801,                 0.5194,                0.48233,                0.30789,                0.44601,                 1.5122,               0.004258,               0.004258,               0.004258
                     60,                0.27407,                0.22501,                 1.0428,                0.47917,                 0.5487,                0.51857,                0.48168,                0.30767,                0.44671,                 1.5137,               0.004159,               0.004159,               0.004159
                     61,                0.27304,                0.22425,                 1.0404,                0.47849,                0.54817,                0.51762,                0.48086,                0.30748,                0.44791,                 1.5162,                0.00406,                0.00406,                0.00406
                     62,                0.27017,                0.21916,                 1.0435,                0.47219,                0.55553,                0.51678,                0.48009,                0.30734,                 0.4475,                 1.5173,               0.003961,               0.003961,               0.003961
                     63,                0.26922,                0.22045,                 1.0423,                0.47102,                0.55631,                0.51599,                 0.4794,                0.30724,                0.44866,                 1.5158,               0.003862,               0.003862,               0.003862
                     64,                0.26876,                 0.2184,                 1.0415,                 0.4701,                0.55707,                0.51523,                0.47894,                0.30724,                0.44899,                 1.5166,               0.003763,               0.003763,               0.003763
                     65,                0.26661,                0.21842,                 1.0375,                0.46998,                  0.557,                0.51469,                0.47843,                0.30724,                0.44927,                 1.5199,               0.003664,               0.003664,               0.003664
                     66,                0.26452,                0.21605,                 1.0356,                0.46913,                0.55762,                0.51405,                0.47791,                0.30713,                0.44957,                 1.5214,               0.003565,               0.003565,               0.003565
                     67,                0.26446,                0.21748,                 1.0341,                0.46876,                0.55682,                0.51338,                0.47732,                0.30713,                0.45089,                 1.5237,               0.003466,               0.003466,               0.003466
                     68,                 0.2615,                0.21225,                 1.0356,                0.46869,                 0.5556,                0.51358,                0.47751,                0.30719,                0.45157,                  1.526,               0.003367,               0.003367,               0.003367
